id_aluno;necessidade_especial;id_escola_alocada;id_sala_alocada;etapa_desejada;etapa_sala;horario_desejado;horario_sala
757;1;4;70;10;10;0;0
1355;0;141;2044;9;9;1;1
26979;1;48;817;9;9;1;1
30371;0;141;2035;9;9;1;1
35011;1;117;1789;9;9;1;1
38007;0;141;2035;9;9;1;1
38188;0;84;1337;9;9;0;0
38349;0;86;1381;9;9;0;0
38357;1;31;440;10;10;0;0
38525;0;87;1388;9;9;0;0
38661;0;87;1394;9;9;1;1
38789;0;36;586;9;9;1;1
38862;0;138;1995;12;12;0;0
39174;1;145;2100;9;9;1;1
39907;0;148;2127;10;10;1;1
40223;0;132;1922;9;9;0;0
42121;0;35;563;7;7;0;0
42133;0;96;1572;9;9;0;0
42997;1;72;1168;8;8;0;0
43837;1;142;2068;12;12;1;1
44023;1;90;1471;12;12;0;0
44592;1;86;1374;8;8;0;0
45181;0;45;755;8;8;1;1
45932;1;148;2128;13;13;1;1
47751;1;29;384;13;13;0;0
48110;1;149;2141;8;8;1;1
48129;1;117;1784;8;8;0;0
49156;1;40;648;12;12;0;0
50124;1;4;69;13;13;1;1
52027;1;40;647;13;13;0;0
52551;1;92;1504;8;8;1;1
52633;1;90;1456;12;12;0;0
53043;1;5;76;8;8;1;1
53946;0;40;658;12;12;0;0
55396;1;119;1812;8;8;1;1
56168;0;140;2021;9;9;1;1
56915;1;146;2119;8;8;0;0
57610;1;149;2165;9;9;0;0
58327;1;103;1628;10;10;1;1
59082;1;85;1351;8;8;0;0
60087;0;29;376;12;12;0;0
60410;0;142;2070;12;12;1;1
60466;1;95;1553;9;9;1;1
60514;1;32;460;12;12;1;1
62654;0;138;1999;12;12;0;0
62966;0;4;68;12;12;0;0
63065;0;117;1785;9;9;0;0
63168;1;41;675;8;8;0;0
63711;0;137;1990;12;12;0;0
63767;0;83;1325;12;12;0;0
65304;1;4;75;13;13;0;0
65576;0;66;1046;9;9;1;1
66817;0;119;1808;9;9;1;1
67204;0;40;659;12;12;0;0
68118;0;4;74;12;12;0;0
68782;0;48;800;12;12;1;1
68801;1;133;1932;9;9;0;0
68917;0;4;68;12;12;0;0
69305;0;149;2145;12;12;0;0
69310;1;138;1999;12;12;0;0
