ID_ALUNO;ID_SALA_ALOCADA;ID_ESCOLA;ETAPA_DESEJADA;ETAPA_OFERECIDA;HORARIO_OFERECIDO;DISTANCIA_KM;CUSTO_TOTAL
757;1985;137;10;10;1;7370.38;7.37
1355;569;35;9;9;1;10943.27;10.94
26979;1649;105;9;9;1;6045.60;6.05
30371;2165;149;9;9;0;5495.72;5.50
35011;2094;145;9;9;0;3228.27;3.23
38007;601;37;9;9;1;9346.81;9.35
38188;1438;89;9;9;0;4864.83;4.86
38349;504;33;9;9;0;13289.64;13.29
38357;1628;103;10;10;1;7021.33;7.02
38525;987;63;9;9;1;10619.46;10.62
38661;1638;104;9;9;1;3736.97;3.74
38789;2166;149;9;9;1;5495.72;5.50
38862;488;32;12;12;1;8531.92;8.53
39174;586;36;9;9;1;11067.23;11.07
39907;514;33;10;10;0;10246.65;10.25
40223;1963;135;9;9;0;525.40;0.53
42121;350;27;7;7;0;5636.25;5.64
42133;1232;76;9;9;0;7471.34;7.47
42997;2152;149;8;8;0;10483.14;10.48
43837;648;40;12;12;0;15608.86;15.61
44023;1995;138;12;12;0;6279.87;6.28
44592;1009;65;8;8;0;5045.45;5.05
45181;1683;108;8;8;0;5923.91;5.92
45932;445;31;13;13;1;9006.30;9.01
47751;665;40;13;13;0;10269.68;10.27
48110;1373;86;8;8;1;1910.23;1.91
48129;1344;85;8;8;1;458.14;0.46
49156;1738;112;12;12;1;3246.01;3.25
50124;1428;88;13;13;1;5009.92;5.01
52027;75;4;13;13;0;12433.84;12.43
52551;307;23;8;8;0;13027.85;13.03
52633;430;31;12;12;1;8546.29;8.55
53043;1930;133;8;8;1;2781.46;2.78
53946;1113;70;12;12;1;3547.48;3.55
55396;1352;85;8;8;1;1273.62;1.27
56168;620;38;9;9;0;14386.45;14.39
56915;1095;69;8;8;1;10921.70;10.92
57610;2100;145;9;9;1;1868.34;1.87
58327;434;31;10;10;0;7292.79;7.29
59082;1045;66;8;8;1;4801.67;4.80
60087;-1;NA;12;NA;NA;0.00;100.00
60410;430;31;12;12;1;12638.82;12.64
60466;688;41;9;9;0;11682.37;11.68
60514;1995;138;12;12;0;5803.21;5.80
62654;450;31;12;12;1;8331.77;8.33
62966;813;48;12;12;1;11098.66;11.10
63065;617;38;9;9;1;11865.28;11.87
63168;641;39;8;8;0;2817.44;2.82
63711;1113;70;12;12;1;13195.75;13.20
63767;1315;83;12;12;0;4881.71;4.88
65304;2161;149;13;13;0;10483.14;10.48
65576;1785;117;9;9;0;2115.84;2.12
66817;-1;NA;9;NA;NA;0.00;100.00
67204;1719;112;12;12;1;5600.59;5.60
68118;400;29;12;12;0;9504.36;9.50
68782;60;4;12;12;1;11787.75;11.79
